t[s]	U[V]	I[A]	Piro1[mA]	Piro2[mA]	Piro1[C]	Piro2[C]
0,000	-0,010	0,020	0,001	-0,016	700,029	649,138
0,010	6,278	0,014	0,001	-0,015	700,050	649,167
0,020	11,035	12,519	0,002	-0,015	700,083	649,159
0,030	11,024	21,471	0,002	-0,015	700,084	649,151
0,040	11,021	21,894	0,001	-0,015	700,044	649,163
0,050	11,021	21,874	0,001	-0,015	700,080	649,163
0,060	11,022	21,835	0,002	-0,016	700,083	649,145
0,070	11,018	21,828	0,002	-0,015	700,088	649,173
0,080	11,020	21,814	0,000	-0,015	700,024	649,195
0,090	11,022	21,798	0,001	-0,014	700,037	649,211
0,100	11,024	21,777	0,001	-0,015	700,053	649,196
0,110	11,031	21,754	0,001	-0,015	700,040	649,163
0,120	11,030	21,731	0,001	-0,014	700,058	649,203
0,130	11,037	21,700	0,001	-0,015	700,069	649,187
0,140	11,036	21,675	0,001	-0,015	700,040	649,187
0,150	11,047	21,633	0,001	-0,015	700,082	649,178
0,160	11,044	21,598	0,001	-0,015	700,047	649,169
0,170	11,046	21,572	0,001	-0,015	700,038	649,194
0,180	11,048	21,535	0,001	-0,014	700,060	649,226
0,190	11,051	21,490	0,000	-0,015	700,019	649,192
0,200	11,054	21,462	0,002	-0,015	700,088	649,185
0,210	11,049	21,427	0,001	-0,015	700,065	649,181
0,220	11,043	21,400	0,001	-0,015	700,061	649,193
0,230	11,043	21,361	0,001	-0,015	700,056	649,189
0,240	11,038	21,351	0,001	-0,015	700,033	649,175
0,250	11,034	21,317	0,001	-0,016	700,080	649,145
0,260	11,025	21,293	0,000	-0,015	700,003	649,167
0,270	11,026	21,274	0,001	-0,015	700,058	649,193
0,280	11,022	21,248	0,002	-0,014	700,084	649,204
0,290	11,026	21,227	0,000	-0,015	700,026	649,160
0,300	11,026	21,210	0,002	-0,015	700,092	649,178
0,310	11,028	21,193	0,001	-0,015	700,043	649,186
0,320	11,028	21,186	0,001	-0,015	700,074	649,200
0,330	11,035	21,168	0,002	-0,015	700,083	649,153
0,340	11,038	21,162	0,001	-0,015	700,056	649,178
0,350	11,044	21,135	0,000	-0,015	700,017	649,177
0,360	11,044	21,115	0,001	-0,015	700,032	649,193
0,370	11,049	21,105	0,000	-0,014	700,006	649,225
0,380	11,048	21,088	0,000	-0,015	700,003	649,154
0,390	11,056	21,074	0,002	-0,015	700,083	649,154
0,400	11,052	21,064	0,001	-0,015	700,055	649,161
